SID,Title,ISSN,EISSN,Coverage,Language,Type,Publisher,Code
4000148019,AAPS Journal,15507416,,1999-2025,ENG,Journal,Springer New York,3003
19374,AAPS PharmSciTech,,15309932,2000-2025,ENG,Journal,Springer International Publishing AG,3003
21101061448,AAS Open Research,,25159321,2018-2024,ENG,Journal,F1000 Research Ltd,1000
21100776059,AATCC Journal of Research,24723444,23305517,2014-2024,ENG,Journal,SAGE Publications Inc.,2505; 2507; 1508
21100316466,Ab Imperio,21664072,21649731,2013-2024,ENG; RUS,Journal,Ab Imperio,3312; 1202
21100870382,ABAC Journal,8580855,,2018-2024,ENG,Journal,Assumption University,1208; 2000; 3301; 1400; 3304
100147335,Abacus,13072,14676281,1965-2024,ENG,Journal,Wiley-Blackwell Publishing Ltd,1402
21100454916,Abdominal Radiology,2366004X,23660058,2016-2024,ENG,Journal,Springer New York,2748; 2715; 2741; 3614
27488,Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg,255858,18658784,2008-2024; 1957-2006; 1954-1955; 1951-1952; 1949; 1943; 1941; 1939; 1937; 1933-1935; 1931; 1927-1929; 1922-1925,GER,Journal,Springer Verlag,2600
21101075891,aBIOTECH,20966326,26621738,2020-2024,ENG,Journal,Springer,1110; 1305; 1301; 1311; 1312; 1102
19900192010,Aboriginal History Journal,3148769,18379389,2024; 2019-2022; 2001,ENG,Journal,ANU Press,3316; 1202
21100944128,Abriu,20148526,20148534,2019-2024,SPA,Journal,Universitat de Barcelona,1202; 1213; 1208; 1203; 3310
24087,Abstract and Applied Analysis,10853375,16870409,2002-2024; 1996,ENG,Journal,John Wiley and Sons Ltd,2604; 2603
16376,Academe,1902946,,1996-2024,ENG,Journal,American Association of University Professors,3304
21100838570,Academia (Greece),,22411402,2017-2024,ENG,Journal,Higher Education Policy Network,3304
21100897510,Academia Economic Papers,1018161X,18104851,2018-2024,CHI; ENG,Journal,Institute of Economics Academia Sinica,2000
19700173246,Academia Revista Latinoamericana de Administracion,10128255,20565127,2008-2024,,Journal,Emerald Group Publishing Ltd.,1408; 2000; 1403; 1803; 1407
15185,Academic Emergency Medicine,10696563,15532712,1994-2024,ENG,Journal,Wiley-Blackwell,2711
21100925779,Academic Forensic Pathology,,19253621,2011-2024,ENG,Journal,SAGE Publications Inc.,2734
19900192427,Academic Journal of Manufacturing Engineering,15837904,,2013-2024; 2010-2011,ENG,Journal,Editura Politehnica,2209
21101152119,Academic Journal of Naval Medical University,20971338,,2022-2024,CHI,Journal,Second Military Medical University Press,2700
3200147815,Academic Journal of Second Military Medical University,0258879X,,2006-2022,CHI,Journal,Second Military Medical University Press,2700
26493,Academic Medicine,10402446,1938808X,1964-2024; 1961; 1959; 1953-1956; 1945; 1940-1941,ENG,Journal,Lippincott Williams and Wilkins Ltd.,3304
21100869489,Academic Pathology,,23742895,2014-2025,ENG,Journal,Association of Pathology Chairs,2734
16800154743,Academic Pediatrics,18762859,18762867,2009-2025,ENG,Journal,Elsevier Inc.,2735
17539,Academic Psychiatry,10429670,15457230,1989-2024,ENG,Journal,Springer International Publishing AG,2738; 3304
21101005539,Academic Quarter,,19040008,2020-2024,DAN,Journal,Aalborg University press,1200
5600153996,Academic Questions,8954852,19364709,1988-2024,ENG,Journal,National Association of Scholars,3304
20031,Academic Radiology,10766332,18784046,1994-2024,ENG,Journal,Elsevier Inc.,2741
21100889435,Academica Turistica,18553303,23354194,2018-2024,ENG,Journal,University of Primorska,1405; 1409; 3300
19900191906,Academy of Management Annals,19416520,19416067,2010-2024,ENG,Journal,Academy of Management,1407; 1403
21101146363,Academy of Management Discoveries,,21681007,2019-2024,ENG,Journal,Academy of Management,1408; 1407; 1403; 1410
20191,Academy of Management Journal,14273,,1989-2024; 1975-1987,ENG,Journal,Academy of Management,1405; 1408; 1400; 1403
5200152701,Academy of Management Learning and Education,1537260X,,2005-2024,ENG,Journal,George Washington University,1407; 3304
4700152287,Academy of Management Perspectives,15589080,,2006-2024,ENG,Journal,Academy of Management,1406; 1408; 1403
20206,Academy of Management Review,3637425,,1996-2024; 1989-1991; 1978-1987,ENG,Journal,Academy of Management,1405; 1408; 1400
23668,Acadiensis,445851,17127432,2009-2023; 2000; 1989-1990; 1984; 1981,ENG; FRE,Journal,University of New Brunswick,1202
19700173205,Acarina,1328077,22215115,2009-2024,ENG; RUS,Journal,Tyumen State University,1109
24078,Acarologia,0044586X,21077207,2010-2024; 1994-2008; 1987; 1965-1985,ENG,Journal,Les Amis d'Acarologia,1109
21101125145,Access Microbiology,,25168290,2019-2024,ENG,Journal,Microbiology Society,2726; 2404
21101043803,Access to Justice in Eastern Europe,26630575,26630583,2018-2024,ENG,Journal,Access to Justice in Eastern Europe,3308
19532,Accident Analysis and Prevention,14575,18792057,1969-2025,ENG,Journal,Elsevier Ltd,3308; 2213; 2739; 3307
18735,Accountability in Research,8989621,15455815,1989-2024,ENG,Journal,Taylor and Francis Ltd.,3309; 3304
28034,Accounting and Business Research,14788,21594260,1970-2024,ENG,Journal,Routledge,1402
200147123,Accounting and Finance,8105391,1467629X,1979-2024,,Journal,Wiley-Blackwell,2001; 2003; 1402
19900193215,Accounting and the Public Interest,15309320,,2009-2024,ENG,Journal,American Accounting Association,1402
19700188267,Accounting Education,9639284,14684489,2000-2024; 1998; 1992-1996,ENG,Journal,Routledge,3304; 1402
145078,Accounting Forum,1559982,14676303,2004-2024,ENG,Journal,Taylor and Francis Ltd.,2003; 1402
21100388306,Accounting Historians Journal,1484184,23274468,1974-2024,ENG,Journal,American Accounting Association,1202; 1402
11400153311,Accounting History,10323732,17493374,1996-2024,ENG,Journal,SAGE Publications Ltd,1202; 1402
19900192338,Accounting History Review,21552851,2155286X,2011-2024,ENG,Journal,Routledge,1202; 1400; 1401; 1402
5000158708,Accounting Horizons,8887993,15587975,1996-2024,ENG,Journal,American Accounting Association,1402
19900191863,Accounting in Europe,17449480,17449499,2010-2024; 2008; 2006,ENG,Journal,Routledge,2003; 1402; 1403
14000156207,Accounting Perspectives,1911382X,19113838,2007-2024,ENG,Journal,John Wiley and Sons Inc ,2003; 1402
19600162139,Accounting Research Journal,10309616,,2005-2024,ENG,Journal,Emerald Group Publishing Ltd.,2003; 1402
28096,Accounting Review,14826,15587967,1996-2024,ENG,Journal,American Accounting Association,2002; 2003; 1402
130105,"Accounting, Auditing and Accountability Journal",9513574,,1988-2024,ENG,Journal,Emerald Group Publishing Ltd.,2001; 1402
21100843497,"Accounting, Economics and Law: A Convivium",,21522820,2011-2024,ENG,Journal,Walter de Gruyter GmbH,3308; 2001; 1402
21101021168,"Accounting, Finance, Sustainability, Governance and Fraud",25097873,25097881,2017-2024,ENG,Book Series,Springer,2003; 1402
28094,"Accounting, Organizations and Society",3613682,,1976-2025,ENG,Journal,Elsevier Ltd,1407; 3312; 1802; 1402
22657,Accounts of Chemical Research,14842,15204898,1968-2024,ENG,Journal,American Chemical Society,1600
21101080487,Accounts of Materials Research,,26436728,2020-2024,ENG,Journal,American Chemical Society,2505; 2507; 2501; 1501
23415,Accreditation and Quality Assurance,9491775,14320517,1996-2024,ENG,Journal,Springer New York,2213; 3105; 1500; 1600
21100235613,ACDI Anuario Colombiano de Derecho Internacional,20271131,21454493,2012-2024,ENG; FRE; SPA,Journal,Universidad del Rosario,3308
21101196739,Acervo,0102700X,22378723,2019-2024,ENG; POR; SPA,Journal,Arquivo Nacional,3309; 1202
21100788267,ACG Case Reports Journal,,23263253,2014-2024,ENG,Journal,Lippincott Williams and Wilkins,2700
25159,ACI Materials Journal,0889325X,,1987-2024,ENG,Journal,American Concrete Institute,2500; 2215; 2205
25161,ACI Structural Journal,8893241,,1987-2024,ENG,Journal,American Concrete Institute,2215; 2205
21100198457,ACM Communications in Computer Algebra,19322232,19322240,2023-2024; 2011-2021,ENG,Journal,Association for Computing Machinery (ACM),2605; 1703
23038,ACM Computing Surveys,3600300,15577341,1969-2024,ENG,Journal,Association for Computing Machinery (ACM),1700; 2614
19700201136,ACM Inroads,21532184,21532192,2010-2024,ENG,Trade Journal,Association for Computing Machinery (ACM),3304; 1700
12100155656,ACM Journal of Experimental Algorithmics,10846654,,1996-2023,ENG,Journal,Association for Computing Machinery,2614
4700152798,ACM Journal on Emerging Technologies in Computing Systems,15504832,15504840,2005-2024,ENG,Journal,Association for Computing Machinery (ACM),2208; 1708; 1712
19700186855,ACM Transactions on Accessible Computing,19367228,,2008-2024,ENG,Journal,Association for Computing Machinery (ACM),1706; 1709
4700153006,ACM Transactions on Algorithms,15496325,15496333,2005-2024,ENG,Journal,Association for Computing Machinery (ACM),2601
12100154833,ACM Transactions on Applied Perception,15443558,15443965,2004-2024,ENG,Journal,Association for Computing Machinery (ACM),3205; 1700; 2614
12100154406,ACM Transactions on Architecture and Code Optimization,15443566,15443973,2004-2024,ENG,Journal,Association for Computing Machinery,1710; 1712; 1708
21100784666,ACM Transactions on Asian and Low-Resource Language Information Processing,23754699,23754702,2015-2024,ENG,Journal,Association for Computing Machinery (ACM),1700
4800153205,ACM Transactions on Autonomous and Adaptive Systems,15564665,15564703,2006-2024,ENG,Journal,Association for Computing Machinery (ACM),1712; 1701; 2207
19700166602,ACM Transactions on Computation Theory,19423454,19423462,2009-2024,ENG,Journal,Association for Computing Machinery (ACM),1703; 2614
23051,ACM Transactions on Computational Logic,15293785,1557945X,2000-2024,ENG,Journal,Association for Computing Machinery (ACM),2605; 2609; 1700; 2614
12213,ACM Transactions on Computer Systems,7342071,15577333,1983-2024,ENG,Journal,Association for Computing Machinery (ACM),1700
26199,ACM Transactions on Computer-Human Interaction,10730516,15577325,1997-2024; 1994-1995,ENG,Journal,Association for Computing Machinery (ACM),1709
19700183047,ACM Transactions on Computing Education,,19466226,2010-2024,ENG,Journal,Association for Computing Machinery (ACM),3304; 1700
21101079108,ACM Transactions on Computing for Healthcare,26911957,26378051,2020-2024,ENG,Journal,Association for Computing Machinery (ACM),3605; 2718; 1706; 2204; 1710; 2701; 1712
21100935201,ACM Transactions on Cyber-Physical Systems,2378962X,23789638,2017-2024,ENG,Journal,Association for Computing Machinery (ACM),1702; 2606; 1705; 1708; 1709
13044,ACM Transactions on Database Systems,3625915,15574644,1976-2024,ENG,Journal,Association for Computing Machinery (ACM),1710
18662,ACM Transactions on Design Automation of Electronic Systems,10844309,15577309,1996-2024,ENG,Journal,Association for Computing Machinery (ACM),2208; 1704; 1706
21100853526,ACM Transactions on Economics and Computation,21678375,21678383,2013-2024,ENG,Journal,Association for Computing Machinery (ACM),2605; 1406; 2002; 2613; 1701
10300153313,ACM Transactions on Embedded Computing Systems,15399087,15583465,2002-2024,ENG,Journal,Association for Computing Machinery,1712; 1708
21101182803,ACM Transactions on Evolutionary Learning and Optimization,2688299X,26883007,2021-2024,ENG,Journal,Association for Computing Machinery,1707; 1702; 1712; 1706; 1703; 1701
24972,ACM Transactions on Graphics,7300301,15577368,1982-2024,ENG,Journal,Association for Computing Machinery (ACM),1704
21100979314,ACM Transactions on Human-Robot Interaction,,25739522,2018-2024,ENG,Journal,Association for Computing Machinery (ACM),1702; 1709
18997,ACM Transactions on Information Systems,10468188,15582868,1983-2024,ENG,Journal,Association for Computing Machinery (ACM),1706; 1400; 1710
19700190323,ACM Transactions on Intelligent Systems and Technology,21576904,21576912,2010-2024,ENG,Journal,Association for Computing Machinery (ACM),1702; 2614
21100301601,ACM Transactions on Interactive Intelligent Systems,21606455,21606463,2011-2024,ENG,Journal,Association for Computing Machinery (ACM),1702; 1709
21101083126,ACM Transactions on Internet of Things,25776207,,2020-2024,ENG,Journal,Association for Computing Machinery (ACM),1705; 1706; 1708; 1710; 1712
15773,ACM Transactions on Internet Technology,15335399,15576051,2001-2024,ENG,Journal,Association for Computing Machinery (ACM),1705
5800173377,ACM Transactions on Knowledge Discovery from Data,15564681,,2007-2024,ENG,Journal,Association for Computing Machinery (ACM),1700
21100200804,ACM Transactions on Management Information Systems,2158656X,21586578,2010-2024,ENG,Journal,Association for Computing Machinery (ACM),1700; 1404
18120,ACM Transactions on Mathematical Software,983500,15577295,1975-2024,ENG,Journal,Association for Computing Machinery (ACM),2604; 1712
23054,ACM Transactions on Modeling and Computer Simulation,10493301,15581195,1991-2024,ENG,Journal,Association for Computing Machinery (ACM),1706; 2611
21100934924,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,23763639,23763647,2016-2024,ENG,Journal,Association for Computing Machinery (ACM),1705; 1708; 2213; 2214; 1710; 1712; 1701
4700151918,"ACM Transactions on Multimedia Computing, Communications and Applications",15516857,15516865,2005-2024,ENG,Journal,Association for Computing Machinery (ACM),1705; 1708
21100881468,ACM Transactions on Parallel Computing,23294949,23294957,2014-2024,ENG,Journal,Association for Computing Machinery (ACM),1703; 1706; 1708; 2611; 1712
21100832567,ACM Transactions on Privacy and Security,24712566,24712574,2016-2024,ENG,Journal,Association for Computing Machinery (ACM),2213; 1700
27836,ACM Transactions on Programming Languages and Systems,1640925,,1979-2024,ENG,Journal,Association for Computing Machinery (ACM),1712
21101186345,ACM Transactions on Quantum Computing,,26436817,2020-2024,ENG,Journal,Association for Computing Machinery,1703; 3109; 1701; 2614
21100217640,ACM Transactions on Reconfigurable Technology and Systems,19367406,19367414,2008-2024,ENG,Journal,Association for Computing Machinery (ACM),1700
4700152843,ACM Transactions on Sensor Networks,15504859,,2005-2024,ENG,Journal,Association for Computing Machinery (ACM),1705
18121,ACM Transactions on Software Engineering and Methodology,1049331X,15577392,1992-2024,ENG,Journal,Association for Computing Machinery (ACM),1712
21100857591,ACM Transactions on Spatial Algorithms and Systems,23740353,23740361,2015-2024,ENG,Journal,Association for Computing Machinery,2611; 2608; 2607; 1711; 1710; 1706
4700152858,ACM Transactions on Storage,15533077,,2005-2024,ENG,Journal,Association for Computing Machinery (ACM),1708
5800207369,ACM Transactions on the Web,15591131,,2007-2024,ENG,Journal,Association for Computing Machinery (ACM),1705
14979,ACME,,14929732,2006-2024; 2002-2004,ENG,Journal,Okanagan University College,3305
21100932834,Acotaciones,11307269,24443948,2019-2024,SPA,Journal,Real Escuela Superior de Arte Dramatico,1208; 1213
12922,Acoustical Physics,10637710,15626865,1996-2024,ENG,Journal,Pleiades Publishing,3102
12935,Acoustical Science and Technology,13463969,13475177,2000-2024,ENG,Journal,Acoustical Society of Japan,3102
21101087776,Acoustics,,2624599X,2019-2024,ENG,Journal,Multidisciplinary Digital Publishing Institute (MDPI),3102
60455,Acoustics Australia,8146039,18392571,1996-2024; 1986-1991,ENG,Journal,Australian Acoustical Society,3102
12938,Acoustics Bulletin,0308437X,,1995-2023; 1986; 1984; 1982; 1979,ENG,Journal,Institute of Acoustics,3102
21101055126,Acque Sotterranee - Italian Journal of Groundwater,1828454X,22806458,2012-2024,ENG; ITA,Journal,Page Press Publications,1908; 1909; 2312; 2304; 2305
21101094825,ACR Open Rheumatology,,25785745,2019-2024,ENG,Journal,John Wiley and Sons Inc,2745
21100862481,ACRN Journal of Finance and Risk Perspectives,,23057394,2017-2023,ENG,Journal,ACRN Oxford Ltd.,1804; 2003; 1402; 1403
5800207808,Across Languages and Cultures,15851923,15882519,2007-2024,ENG,Journal,Akademiai Kiado,3310; 1203
21101057642,ACS Agricultural Science and Technology,,26921952,2021-2024,ENG,Journal,American Chemical Society,1110; 1101; 1102; 1106
21100912215,ACS Applied Bio Materials,,25766422,2018-2024,ENG,Journal,American Chemical Society,2704; 2204; 1600; 2502
21101019256,ACS Applied Electronic Materials,,26376113,2019-2024,ENG,Journal,American Chemical Society,1603; 2505; 2504
21100904205,ACS Applied Energy Materials,,25740962,2018-2024,ENG,Journal,American Chemical Society,2208; 2505; 1603; 2102; 1501
19700171101,ACS Applied Materials and Interfaces,19448244,19448252,2009-2024,ENG,Journal,American Chemical Society,2500
21100914527,ACS Applied Nano Materials,,25740970,2018-2024,ENG,Journal,American Chemical Society,2500
21101203217,ACS Applied Optical Materials,,27719855,2023-2024,ENG,Journal,American Chemical Society,3107; 2504; 1607
21101028205,ACS Applied Polymer Materials,,26376105,2019-2024,ENG,Journal,American Chemical Society,1605; 2507; 1508
21101097345,ACS Bio and Med Chem Au,,26942437,2021-2024,ENG,Journal,American Chemical Society,3002; 3003; 1312; 1303
21100461927,ACS Biomaterials Science and Engineering,,23739878,2015-2024,,Journal,American Chemical Society,2204; 2502
19700188320,ACS Catalysis,,21555435,2011-2024,ENG,Journal,American Chemical Society,1503; 1600
21100824912,ACS Central Science,23747943,23747951,2015-2024,ENG,Journal,American Chemical Society,1500; 1600
5300152227,ACS Chemical Biology,15548929,15548937,2006-2024,ENG,Journal,American Chemical Society,1313; 1303
4000148108,ACS Chemical Health and Safety,18715532,18780504,2006-2024,ENG,Journal,American Chemical Society,2739; 1600; 1504
19700172804,ACS Chemical Neuroscience,,19487193,2010-2024,ENG,Journal,American Chemical Society,1307; 2805; 1314; 1303
21100854624,ACS Earth and Space Chemistry,,24723452,2017-2024,ENG,Journal,American Chemical Society,1912; 1902; 1906
21100832985,ACS Energy Letters,,23808195,2016-2024,ENG,Journal,American Chemical Society,2505; 2102; 2103; 2105; 1601
21101089625,ACS Environmental Au,,26942518,2021-2024,ENG,Journal,American Chemical Society,2312; 2301; 2305
21101109915,ACS ES and T Engineering,,26900645,2021-2024,ENG,Journal,American Chemical Society,1504; 1508; 2304; 1501
21101091928,ACS ES and T Water,,26900637,2021-2024,ENG,Journal,American Chemical Society,2312; 2304; 1501; 1601
21101077298,ACS Food Science and Technology,,26921944,2021-2024,ENG,Journal,American Chemical Society,1605; 1601; 1106; 1602
21100461918,ACS Infectious Diseases,,23738227,2015-2024,ENG,Journal,American Chemical Society,2725
21100209317,ACS Macro Letters,,21611653,2012-2024,ENG,Journal,American Chemical Society,2505; 1604; 2507; 1605
21101088936,ACS Materials Au,,26942461,2021-2024,ENG,Journal,American Chemical Society,2505; 2507; 2502; 2504
21100944562,ACS Materials Letters,,26394979,2019-2024,ENG,Journal,American Chemical Society,2500; 2204; 1500
21101128145,ACS Measurement Science Au,,2694250X,2021-2024,ENG,Journal,American Chemical Society,1603; 1607; 1602
19700177127,ACS Medicinal Chemistry Letters,,19485875,2010-2024,ENG,Journal,American Chemical Society,1605; 3002; 1303
11500153511,ACS Nano,19360851,1936086X,2007-2024,ENG,Journal,American Chemical Society,3100; 2200; 2500
21101103288,ACS Nanoscience Au,,26942496,2021-2024,ENG,Journal,American Chemical Society,2501; 1601
21100828963,ACS Omega,,24701343,2016-2024,ENG,Journal,American Chemical Society,1500; 1600
21101130465,ACS Organic and Inorganic Au,,2694247X,2021-2024,ENG,Journal,American Chemical Society,1604; 1605; 1606
21101018849,ACS Pharmacology and Translational Science,,25759108,2018-2024,ENG,Journal,American Chemical Society,2736; 3004
21100368207,ACS Photonics,,23304022,2014-2024,ENG,Journal,American Chemical Society,2208; 3107; 1305; 2504
21101127319,ACS Physical Chemistry Au,,26942445,2021-2024,ENG,Journal,American Chemical Society,1703; 1606; 1706; 1601
21101180668,ACS Polymers Au,,26942453,2023-2024,ENG,Journal,American Chemical Society,1501; 1601; 2507; 1606; 1605; 2505
21100824897,ACS Sensors,,23793694,2016-2024,ENG,Journal,American Chemical Society,1507; 1508; 3105; 1502
21100248891,ACS Sustainable Chemistry and Engineering,,21680485,2013-2024,ENG,Journal,American Chemical Society,2105; 1500; 2304; 1600
22180,ACS Symposium Series,976156,19475918,1996-2024; 1974-1989; 1904,ENG,Book Series,American Chemical Society,1500; 1600
21100218506,ACS Synthetic Biology,,21615063,2012-2024,ENG,Journal,American Chemical Society,1301; 2204
27566,ACSM's Health and Fitness Journal,10915397,1536593X,1998-2024,ENG,Journal,Lippincott Williams and Wilkins Ltd.,2739; 3612; 2732
21100943521,Acta Academiae Artium Vilnensis,13920316,,2019-2024,LIT,Journal,Vilniaus dailes akademijos leidykla,1202; 1213
21464,Acta Academiae Medicinae Sinicae,1000503X,,1979-2024,CHI,Journal,Chinese Academy of Medical Sciences,2700
19700202712,Acta Academica,5872405,,2009-2023,AFR; ENG,Journal,Sun Media Corporation,3300; 1200
21101052930,Acta Acustica,10224793,26814617,2020-2024,ENG,Journal,"European Acoustics Association, EAA",1706; 1210; 3616; 3102; 2208
21100296234,Acta ad Archaeologiam et Artium Historiam Pertinentia,650900,,2022; 2018; 2013-2014,ITA,Book Series,Norwegian Institute in Rome,3302; 1213; 1202; 1204
29731,Acta Adriatica,15113,18460453,2005-2024; 2000-2002; 1985; 1982-1983; 1980; 1973,ENG,Journal,Institute of Oceanography and Fisheries,1910
21101097075,Acta Agrestia Sinica,10070435,,2019-2024,CHI; ENG,Journal,China Agricultural University,1101; 2303
21101257829,Acta Agriculturae Boreali-Sinica,10007091,,2020-2024,CHI; ENG,Journal,Editorial Department of Acta Agriculurae Boreali-Sinica,1111; 1110; 1103; 1102
35770,Acta Agriculturae Scandinavica - Section A: Animal Science,9064702,16511972,2020-2024; 1992-2018,ENG,Journal,Taylor and Francis Ltd.,3403; 1103
51952,Acta Agriculturae Scandinavica Section B: Soil and Plant Science,9064710,16511913,1992-2024,ENG,Journal,Taylor and Francis Ltd.,1102; 1111
12000154412,Acta Agriculturae Slovenica,15819175,18541941,2008-2024,ENG; SLO,Journal,University of Ljubljana,1100; 2312
21100439337,Acta Agrobotanica,650951,2300357X,2013-2024; 1987; 1964-1979; 1953-1962,ENG,Journal,Polish Botanical Society,1105; 1102; 1110
65755,Acta Agronomica,1202812,23230118,2012-2023; 1968,ENG; POR; SPA,Journal,Universidad Nacional de Colombia,1111; 1102
21100838400,Acta Agronomica Sinica (China),4963490,,2012-2024,CHI,Journal,Institute of Crop Sciences,1305; 1110; 1102
20860,Acta Alimentaria,1393006,15882535,1996-2024; 1973-1975,ENG; HUN,Journal,Akademiai Kiado,1106
18748,Acta Amazonica,445967,,2006-2024; 1979,POR,Journal,Instituto Nacional de Pesquisas da Amazonia,1100
21395,Acta Anaesthesiologica Belgica,15164,,2020-2024; 1963-2018; 1959-1961; 1950-1951,ENG,Journal,ARSMB-KVBMG,2703
21397,Acta Anaesthesiologica Scandinavica,15172,13996576,1957-2025,ENG,Journal,Blackwell Munksgaard,2703
19400158711,Acta Analytica,3535150,18746349,2009-2024,ENG,Journal,Springer Netherlands,1211
4000151906,Acta Anatomica Sinica,5291356,,2019-2024; 2006-2017,CHI,Journal,Editorial Board of Acta Anatomica Sinica,2710; 1315; 2722; 2702
144841,Acta Angiologica,1234950X,16443276,2005-2024,ENG; POL,Journal,Via Medica,2705
28295,Acta Antiqua Academiae Scientiarum Hungaricae,445975,15882543,2007-2024; 1965,ENG; FRE; GER; ITA,Journal,Akademiai Kiado,3310; 3302; 1202; 1203; 3316; 1205
24099,Acta Applicandae Mathematicae,1678019,15729036,1983-2024,ENG,Journal,Springer Netherlands,2604
69489,Acta Arachnologica,15202,,1980-2024; 1963-1978; 1957-1961; 1947-1955; 1944; 1936-1942,JPN,Journal,Arachnological Society of Japan,1105
16400154717,Acta Archaeologica,0065101X,16000390,2022-2024; 2000-2020,ENG; GER,Journal,Wiley-Blackwell Publishing Ltd,3302; 1204
7100153130,Acta Archaeologica Academiae Scientiarum Hungaricae,15210,15882551,2007-2024,ENG; FRE; GER; ITA; RUS,Journal,Akademiai Kiado,3302; 1204
21100826812,Acta Archaeologica Lodziensia,650986,24510300,2019-2023; 2016-2017,ENG,Journal,Lodzkie Towarzystwo Naukowe,3302; 1213; 1202; 1204
24100,Acta Arithmetica,651036,17306264,1996-2024,ENG,Journal,Instytut Matematyczny,2602
21101042151,Acta Asiatica Varsoviensia,8606102,24498653,2019-2023,ENG,Journal,Institute of Mediterranean and Oriental Cultures of the Polish Academy of Sciences,1201; 1212; 1202; 3316
12372,Acta Astronautica,945765,,1974-2025,ENG,Journal,Elsevier Ltd,2202
26624,Acta Astronomica,15237,,1996-2024,ENG,Journal,Copernicus Foundation for Polish Astronomy,1912; 3103
21100813726,Acta Baltica Historiae et Philosophiae Scientiarum,22282009,22282017,2013-2024,ENG,Journal,Springer International Publishing AG,1211; 1202
